Fecha,Hora,Energia,Estado_Animo,Tarea,Tipo_tarea,Resultado,Comentarios,Punto clave
2025-03-28,09:00,6,6,Levantarme,Rutina,8,Me costó un poco,Nada
2025-03-28,10:00,8,8,Correr,Ejercicio,10,Sensaciones increíbles,Calentamiento muy suave y progressivo
2025-03-28,11:45,8,8,Plan estudios IA,Estudio IA,10,Sensaciones increíbles,Motivación proyecto IA
2025-03-28,13:45,7,7,Trabajo,Trabajo,8,Cansado a final de la jornada,Buen ambiente
2025-03-29,07:00,7,7,Levantarme,Rutina,7,Demasiasdo pronto por carrera,No pensar y actuar
2025-03-29,10:15,9,9,Correr,Ejercicio,10,Sensaciones increíbles,Ambiente y confianza del entorno
2025-03-29,13:45,6,8,Descanso,Descanso,8,Día completo de descanso en el sofa,Pensamiento claro y efectivo
2025-03-30,10:00,6,6,Levantarme,Rutina,5,Alargé la alarma,Necesario descanso
2025-03-30,10:20,7,7,Plan estudios IA,Estudio IA,7,Con ganas de seguir aprendiendo y avanzando en el proyecto,Motivación proyecto IA
2025-03-30,14:30,10,10,Proyecto IA,Proyecto IA,10,Mentalmente 100%,
2025-03-30,17:15,9,6,Bicicleta,Ejercicio,7,No tenia ganas,Piernas vacias por no comer bien dia anterior
2025-03-30,19:30,8,8,Proyecto IA,Proyecto IA,6,Mal funcionamiento chatGPT,
2025-03-30,21:10,6,6,Ver la TV,Distracción,5,Futbol,Siento que pierdo tiempo
2025-03-31,09:20,7,8,Levantarme,Rutina,5,Me ha costado,Lunes por la mañana
2025-03-31,09:30,7,8,Proyecto IA,Proyecto IA,8,,Motivación
2025-03-31,10:59,7,8,Desayuno,Rutina,5,Dia libre ejercicio,Me cuesta desayunar
2025-03-31,11:02,7,7,Proyecto IA,Proyecto IA,8,,Motivación
2025-04-01,08:45,7,7,Levantarme,Rutina,8,,No pensar
2025-04-01,12:11,9,9,,Proyecto,9,"Hemos avanzado mucho, cada vez mas claro el camino a seguir",Motivación
2025-04-01,12:17,8,8,,Creativa,8,Definir ruta proyecto,
2025-04-01,12:19,8,8,,Creativa,8,Nueva ruta proyecto,
2025-04-01,12:21,6,6,,Proyecto,6,Probando,
2025-04-01,12:22,7,7,,Física,8,Entreno de fuerza,
