timestamp,fase_aprendizaje,fase_atencional,nivel_dopaminico_estimado,entropia_mental,claridad_mental_0_10,ruido_mental_0_10,nivel_significado_0_10,simbolo_emergente,retencion_spontanea,nota_libre
2025-04-01 09:00,Preactivación,Alpha-flotante,Media,Ordenado,6,3,7,Amanecer,"Recordé 'get through' sin pensar","Me sentí con curiosidad pero sin dirección"
2025-04-01 16:00,Codificación,Gamma-enfocado,Alta,Intermedio,8,2,9,Espiral ascendente,"Recordé 3 phrasal verbs al instante","Momento de flow mental total"
2025-04-02 11:00,Consolidación,Theta-inmersivo,Baja,Caótico creativo,4,7,5,Reloj roto,"Ninguna palabra concreta","Muchos pensamientos flotantes"
2025-04-02 20:00,Integración,Alpha-flotante,Media,Ordenado,7,2,8,Nube luminosa,"'turn into' apareció espontáneamente","Lo conecté con un sueño que tuve"
2025-04-03 08:00,Preactivación,Theta-inmersivo,Alta,Caótico creativo,5,5,6,Estrella difusa,"Recordé partes de una frase","Todo parecía conectado simbólicamente"
2025-04-03 14:00,Codificación,Gamma-enfocado,Alta,Intermedio,9,1,9,Portal abierto,"Recité 5 frases sin pensarlo","Foco + entusiasmo puro"
2025-04-04 10:30,Consolidación,Alpha-flotante,Media,Ordenado,6,3,7,Flor geométrica,"Expresión 'go over' volvió sola","Noté claridad tras descansar"
2025-04-04 18:00,Integración,Theta-inmersivo,Media,Intermedio,8,4,6,Escalera infinita,"Recordé algo sin entender por qué","Sentí integración interna sin esfuerzo"
2025-04-05 09:00,Codificación,Gamma-enfocado,Alta,Caótico creativo,9,2,9,Rayo azul,"'come up with' surgió al hablar","Momento de conexión directa"
2025-04-05 21:00,Consolidación,Alpha-flotante,Baja,Intermedio,5,6,5,Puerta entreabierta,"Ninguna palabra específica","Mente en reposo, flotando"
