Fecha,Hora,Energia,Estado_Animo,Tarea,Resultado,Comentarios
2025-03-28,09:00,6,6,Levantarme,8,Me costó un poco
2025-03-28,10:00,8,8,Correr,10,Sensaciones increíbles
2025-03-28,11:45,8,8,Plan estudios IA,10,Sensaciones increíbles
2025-03-29,07:00,7,7,Levantarme,7,Demasiasdo pronto por carrera
2025-03-29,10:15,9,9,Correr,10,Sensaciones increíbles
2025-03-29,13:45,6,8,Descanso,8,Día completo de descansoe en el sofa
2025-03-30,10:00,6,6,Levantarme,5,Alargé la alarma
2025-03-30,10:20,7,7,Plan estudios IA,7,Con ganas de seguir aprendiendo y avanzando en el proyecto

2025-03-28,11:45,8,8,Plan estudios IA,10,Sensaciones increíbles
2025-03-28,09:00,6,6,Levantarme,8,Me costó un poco
2025-03-28,10:00,8,8,Correr,10,Sensaciones increíbles
2025-03-28,11:45,8,8,Plan estudios IA,10,Sensaciones increíbles

