Fecha,Hora,Energia,Estado_Animo,Tarea,Tipo_tarea,Resultado,Comentarios
2025-03-28,09:00,6,6,Levantarme,Rutina,8,Me costó un poco
2025-03-28,10:00,8,8,Correr,Ejercicio,10,Sensaciones increíbles
2025-03-28,11:45,8,8,Plan estudios IA,Mental,10,Sensaciones increíbles
2025-03-29,07:00,7,7,Levantarme,Rutina,7,Demasiasdo pronto por carrera
2025-03-29,10:15,9,9,Correr,Ejercicio,10,Sensaciones increíbles
2025-03-29,13:45,6,8,Descanso,Descanso,8,Día completo de descansoe en el sofa
2025-03-30,10:00,6,6,Levantarme,Rutina,5,Alargé la alarma
2025-03-30,10:20,7,7,Plan estudios IA,Mental,7,Con ganas de seguir aprendiendo y avanzando en el proyecto


